,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
287,0.9835667661626268,0.9713259538389072,0.9221601622256218,0.9683531233866803,0.9734315211898058,0.2087692427507074,0.9847242249459266,1.0000000000000002,1.0,0.13774772604059995,0.0038422857732277782,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.9182249105766711,0.9522696929238985,0.0,0.955607476635514,0.9819693370762254,1.0,0.0,0.0,0.9809331709544832,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9999999999999999
299,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.2951117572233327,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.3884856333955785,0.020913380953608913,0.6403582677675667,0.9761552188935718,0.7548236716018475,0.8476958136394328,0.34193581620563523,0.8755658993814959,0.907958984375,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
300,0.8934955882835308,0.846767545925577,0.9221601622256218,0.6678368611254517,0.0,0.3465901715947146,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.45608698271188475,0.07452487170891461,0.458048710935981,0.9406538330105936,0.6743859800578409,0.05156988521269413,0.11981661773038679,0.031116495568449917,0.0,0.4406025532904877,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
301,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.2087692427507074,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.0038422857732277782,0.6610714332006896,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
302,0.8934955882835308,0.846767545925577,0.42178661638621084,0.6678368611254517,0.0,0.3465901715947146,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.45608698271188475,0.04847984734005519,0.5789187157318955,0.9761552188935718,0.7548236716018475,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.2717678100263852,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
303,0.8021779774986061,0.7391957136128121,0.0,0.0,0.0,0.3543781314088419,0.5521359048305696,0.6448707603404744,0.7520356727413726,0.5721793867839288,0.04847984734005519,0.32863679373679505,0.7238865474427612,0.5484525402512195,0.6508693450371371,0.18480743144628162,0.7131607473060001,0.7407633463541666,0.3555122575391863,0.0,0.0,0.0,0.6809184481393507,0.6959176996619288,0.0,0.2717678100263852,0.6625818237174608,0.0,0.7247376082126715,0.0,0.0,0.0,0.0,0.5952387806212037
313,0.05687670154492079,0.02726095148374941,0.06602867409014906,0.011099638616417138,0.022814237239188507,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.27062988281250006,0.034140809026667045,0.0,0.15867303027932084,0.0,0.054343914201396386,0.06303391617288887,0.487651077246453,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.017118676668590113,0.045167600248955275,0.1447809856825592,0.0
314,0.05687670154492079,0.02726095148374941,0.06602867409014906,0.011099638616417138,0.022814237239188507,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.28466796875000006,0.034140809026667045,0.0,0.15867303027932084,0.0,0.054343914201396386,0.06303391617288887,0.0,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.0,0.0,0.0,0.0
315,0.9835667661626268,0.9713259538389072,0.9747411860969798,0.9683531233866803,0.9734315211898058,0.2087692427507074,0.9847242249459266,1.0000000000000002,1.0,0.13774772604059995,0.0038422857732277782,0.8213197837949942,1.0,0.9263607717874565,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.9182249105766711,0.9522696929238985,0.15867303027932084,0.955607476635514,0.9819693370762254,1.0,0.0,0.0,0.9809331709544832,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
319,0.007347393971200841,0.0,0.006296915578640294,0.0,0.0,0.0,0.0014419610670511898,0.003279798006091054,0.005234587049243893,0.0,0.0,0.0,0.0,0.0,0.005443956785955436,0.0,0.10999171076962315,0.060709635416666664,0.005147294035536684,0.0,0.020968625303184413,0.0,0.0,0.008142789632483915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10305722251098616,0.019603327672068856
327,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.2951117572233327,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.3884856333955785,0.020913380953608913,0.6403582677675667,0.9761552188935718,0.7548236716018475,0.8476958136394328,0.34193581620563523,0.8755658993814959,0.907958984375,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.9686459975477317,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.13034557927806628,0.0,0.0,0.0
334,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.4054671477895174,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.07452487170891461,0.6610714332006896,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.0
