"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"smallest_motif_abundance_dropped_more.scale(X124)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X124","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X126)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X126","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X127)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X127","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X128)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X128","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X130)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X130","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X131)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X131","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X132)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X132","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X133)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X133","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X134)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X134","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X135)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X135","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X136)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X136","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X140)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X140","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X141)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X141","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X142)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X142","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X0)1",0.0125976337330467,0.136363564602597,0.0923826959918496,0.0792758931541719,0.158908758158642,"X0","DPP",0.873740760366639,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X1)",0.275035083175881,0.17608595343438,1.56193653049319,0.0818892450181555,3.35862277292828,"X1","DPP",0.000783319166947734,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X3)",0.27503508317585,0.17608595343438,1.56193653049302,0.0818892450181581,3.35862277292779,"X3","DPP",0.000783319166949108,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X5)1",0.0125976337330467,0.136363564602597,0.0923826959918496,0.0792758931541719,0.158908758158642,"X5","DPP",0.873740760366639,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X6)",0.109819571114931,0.124610511292455,0.881302628292643,0.0752951706175255,1.45852078180124,"X6","DPP",0.144697051182656,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X7)",0.260612503331296,0.153785911315228,1.69464485467135,0.0953052487855977,2.73450315331089,"X7","DPP",0.00624744969789866,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X8)",0.26493979237039,0.183149940979422,1.44657317907712,0.0839513856434119,3.15587158377274,"X8","DPP",0.00160019295502082,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X10)1",-0.0123243984094173,0.12925771042456,-0.0953474912168613,0.0642368464661707,-0.191858708629287,"X10","DPP",0.84785288224526,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X11)",0.0563244930329694,0.119500445795398,0.47133291142198,0.0555775173409019,1.01344024936353,"X11","DPP",0.310849922463082,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X13)1",0.0701701809026638,0.0849962851705146,0.825567620536503,0.0555809670162166,1.2624857873054,"X13","DPP",0.206774037321699,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X14)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X14","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X15)1",0.0731414723593158,0.131991796018231,0.554136503674922,0.14375653952512,0.508787096579596,"X15","DPP",0.610901464892692,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X18)",0.109819571114931,0.124610511292455,0.881302628292643,0.0752951706175255,1.45852078180124,"X18","DPP",0.144697051182656,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X19)",0.260612503331296,0.153785911315228,1.69464485467135,0.0953052487855977,2.73450315331089,"X19","DPP",0.00624744969789866,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X20)",0.26493979237039,0.183149940979422,1.44657317907712,0.0839513856434119,3.15587158377274,"X20","DPP",0.00160019295502082,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X22)",0.0563244930329694,0.119500445795398,0.47133291142198,0.0555775173409019,1.01344024936353,"X22","DPP",0.310849922463082,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X23)1",-0.211571823200158,0.139714081027588,-1.51431997150223,0.133195602079234,-1.5884294969011,"X23","DPP",0.112189251865088,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X24)",0.0131152840806195,0.112321680901469,0.116765382919479,0.048925190010229,0.268068127642988,"X24","DPP",0.788646878685834,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X25)1",-0.608781343611421,0.152588307401971,-3.98969851607095,0.157095504268116,-3.87523084411385,"X25","DPP",0.000106523666538051,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X26)1",0.0701701809026638,0.0849962851705146,0.825567620536503,0.0555809670162166,1.2624857873054,"X26","DPP",0.206774037321699,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X27)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X27","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X28)1",0.137743098859225,0.132773184420074,1.03743161287318,0.0826262436312938,1.66706233765003,"X28","DPP",0.0955020100634811,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X29)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X29","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X30)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X30","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X31)1",0.0640603094183985,0.0840684341708099,0.762001933903527,0.073816847997876,0.867827754176685,"X31","DPP",0.38548863385732,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X32)1",0.0731414723593158,0.131991796018231,0.554136503674922,0.14375653952512,0.508787096579596,"X32","DPP",0.610901464892692,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X33)1",0.0731414723593158,0.131991796018231,0.554136503674922,0.14375653952512,0.508787096579596,"X33","DPP",0.610901464892692,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X37)",0.109819571114931,0.124610511292455,0.881302628292643,0.0752951706175255,1.45852078180124,"X37","DPP",0.144697051182656,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X38)",0.260612503331296,0.153785911315228,1.69464485467135,0.0953052487855977,2.73450315331089,"X38","DPP",0.00624744969789866,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X39)",0.0131152840806195,0.112321680901469,0.116765382919479,0.048925190010229,0.268068127642988,"X39","DPP",0.788646878685834,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X40)1",-0.211571823200158,0.139714081027588,-1.51431997150223,0.133195602079234,-1.5884294969011,"X40","DPP",0.112189251865088,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X41)",0.0131152840806195,0.112321680901469,0.116765382919479,0.048925190010229,0.268068127642988,"X41","DPP",0.788646878685834,"smallest_motif_abundance_dropped_more"
