Name,Composition [a],Supposed structures [a],P1TS [b],P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
1114-2,Hex3HexNAc3,Galβ1-3(Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.1,0.8,0.2,0.3,0.4,1.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0
1114-3,Hex3HexNAc3,Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1120-1,NeuAc1Hex2HexNAc2Sul1,NeuAc+S+Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120-2,NeuAc1Hex2HexNAc2Sul1,NeuAc+S+Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,Hex2HexNAc2dHex2Sul1,Fucα1-2Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.1,0.1,0.0,0.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0
1139,Hex1HexNAc4dHex1,Fucα1-2(GalNAcα1-3)Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0
1155-1,Hex2HexNAc4,HexNAc1-4Galβ1-3(GlcNAcα1-4Galβ1-4GlcNAcβ1-6)GalNAcol,0.7,1.0,1.4,1.8,3.1,0.3,0.4,1.2,1.1,2.1,0.1,2.2,0.0,1.0,0.3,0.6,0.6
1155-2,Hex2HexNAc4,HexNAc-Galβ1-3(GlcNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.4,1.1,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
1178,Hex2HexNAc3dHex1Sul1,HexNAc1-4Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186-1,NeuAc1Hex2HexNAc2dHex1,Galβ1-3[NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,0.0,2.9,0.0,0.0,0.2,0.4,1.0,0.0,0.0,0.8,5.5,0.0,0.0,0.0,0.3,0.6,3.5
1186-2,NeuAc1Hex2HexNAc2dHex1,Galβ1-3[NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-6]GalNAcol,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
1186-3,NeuAc1Hex2HexNAc2dHex1,NeuAcα2-3Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,2.1,0.3,0.0,0.3,0.3,0.9,0.4,0.7,1.2,1.0,0.0,0.0,0.0,0.0,1.7,0.3,0.8
1186-4,NeuAc1Hex2HexNAc2dHex1,Fucα1-2Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.3,0.6,0.0,0.0,0.5,0.0,0.1,0.3,1.0,0.3,0.8,0.0,0.0,0.0,0.7,0.0,1.9
