,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L26985,0.008443029,0.002101379,0.004075797,0,0.006457218,0.003818118,0.02639474,0.034141632,0,0.052351689,0.007638184,0,0,0.021295587,0.01218505,0.026867432,0.024718825
L26987,0.005475323,0.002738183,0.020909445,0.029303067,0.050913838,0.016788996,0.016438249,0.056701083,0.022621087,0.113050285,0,0.015902934,0,0.008715494,0.029993798,0.013198793,0.011813514
L26989,0.010584668,0.003458417,0.020909445,0.029303067,0.046598217,0.0144056,0.042606772,0.086729173,0.013442604,0.225056913,0,0.035389611,0,0.018652302,0.040224659,0.042836774,0.010561167
L26994,0,0.010938153,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0.007540441,0,0.00858831
L26995,0.003671308,0.002101379,0,0,0,0.003818118,0.026927629,0.028830533,0,0.125674386,0,0,0,0.00996637,0.024132462,0.031418633,0.003201673
L26996,0.005109345,0.002101379,0,0,0,0.003818118,0.026168522,0.034982495,0,0.119541078,0,0,0,0.009936808,0.016548097,0.029637981,0.001887833
L27004,0.000718312,0,0,0,0,0,0.02177407,0.008325993,0,0.079531183,0,0,0,0.003835386,0.022441442,0.025027389,0.00131384
L27005,0.000929285,0.002101379,0,0,0,0,0.018377102,0.011818798,0,0.075594952,0,0,0,0.003805825,0.009919732,0.023246737,0
L27009,0.000508751,0,0,0,0.001890362,0,0,0.007426233,0,0,0,0,0,0,0.001050709,0.001922961,0.00180053
L27010,0,0,0,0,0,0,0,0,0,0,0.007638184,0,0,0,0,0,0.020721066
L27012,0.000733608,0,0,0,0.001890362,0.005151255,0.014152707,0.01001475,0,0,0,0,0,0,0.008677747,0.001922961,0.001800623
L27013,0.001438037,0,0,0.00433544,0.013566967,0.008567774,0.004220239,0.046342983,0,0.114832636,0,0.049603859,0,0.011215426,0.001888746,0.005754866,0.001724023
L27015,0.028098575,0.004375967,0.265291675,0.021918918,0.017528292,0.017569633,0.056866491,0.015077102,0.00530685,0.023409436,0,0.023257208,0,0,0.033917333,0.009186947,0.016133709
L27019,0.003349225,0.006159793,0,0,0,0.004303243,0.043783973,0.011376666,0,0.005990738,0.001969919,0,0,0.026345791,0.018830203,0.020673028,0.016400479
L27020,0.005691311,0.006960695,0,0.007259874,0.015753972,0.02201342,0.045105565,0.017959257,0.006065753,0.005990738,0.001047658,0.01565593,0,0.030937841,0.01988958,0.020673028,0.016309641
L27022,0,0,0,0,0,0,0.007717138,0,0,0,0.007638184,0,0,0.009441829,0.00366121,0,0.018920536
L27025,3.93E-08,0.009645539,0,0,0,0,0,0,0,0,0.001567743,0.011380869,0,0.053255947,0.004343932,0,0.003998059
L27027,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.005808702,0,0
L27030,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.002550573,0.004343932,0,9.24E-08
L27032,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00919214,0.00165603,0,9.24E-08
L27033,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0.00165603,0,9.24E-08
L27037,0,0.039145405,0,0,0,0.00709508,0,0,0,0,0.005543925,0.040158386,0,0,0,0.007285954,0.020472143
L27039,0.001467159,0.034135109,0,0.001704946,0,0.00709508,0,0.001510318,0,0,0.005851158,0.040158386,0,0.110510239,0,0.011867921,0.020845482
L27040,0.00070397,0.006159793,0,0,0,0,0.012421284,0.00625551,0,0.005990738,0.001969919,0,0,0.016793423,0.006605055,0.014842737,0.016400386
L27043,0,0.006159793,0,0,0,0,0,0,0,0,0.001969919,0,0,0,0,0,0.008003549
L27044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001832486
L27048,0,0.000555225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L27052,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.001669654,0,0
L27058,0.006370468,0.083338916,0.160263539,0.070655785,0.017347373,0.003621357,0.019435485,0.002696078,0.027527237,0.019555583,0.257297832,0,0.093511727,0,0.017859481,0.006051505,0.174040763
L27059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0,0,0
L27062,0,0,0,0,0,0,0,0,0,0,0.002225583,0,0,0,0,0,0.004081355
L27067,0,0.001572021,0.004075797,0.001704946,0.006457218,0,0.000769938,0,0,0,0,0,0,0,0,0,0
L27069,0,0,0,0,0.003639971,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L27072,0,0,0,0.008281799,0,0,0,0,0,0,0,0,0,0,0,0,0
L27079,0,0,0,0,0.017146933,0,0,0,0,0,0,0,0,0,0,0,0
L27082,0,0,0,0,0,0,0.005359916,0.018758248,0,0,0,0,0,0.012724569,0,0.006099807,0
L27084,0.004263148,0,0,0.012848163,0.003625251,0,0,0,0,0,0,0,0,0,0,0,0.009208977
L27088,0.005932062,0,0,0.012848163,0.003625251,0,0,0.002270474,0.012319622,0.033821472,0,0,0,0,0,0,0.009208977
L27089,0.000416938,0.0606427,0,0,0.001973046,0.003621357,0.010335914,0,0,0.00801692,0.179193371,0,0,0,0.003429502,0.006051505,0.076696746
L27097,0,0,0,0,0,0,0,0.002270474,0.012319622,0.033821472,0,0,0,0,0,0,0
L27110,0,0,0,0.001704946,0,0,0,0,0,0,0,0,0,0,0,0,0
L27117,0.001627301,0,0,0.004122684,0.003134684,0,0,0,0,0,0,0,0,0,0,0,0
L27120,0,0,0,0.002268403,0.003148105,0.003621603,0,0,0,0,0,0,0,0,0,0,0
L27121,0,0,0,0.001355192,0.002181323,0,0,0,0,0,0,0,0,0,0,0,0
L27122,0.000526898,0.001321283,0,0.009727171,0.043759612,0,0,0,0,0,0,0,0.202931459,0,0,0,0
L27124,0.000526898,0.001321283,0,0.00684998,0.027770055,0,0,0,0,0,0.002557747,0,0.106710954,0,0,0,0.002497737
L27125,0.004546865,0.003261314,0.045221058,0.006524011,0.01993266,0.05925567,0.021317791,0.065480748,0.017867767,0.186110268,0.002846066,0.064305683,0,0.059083586,0.015158594,0.013467672,0.007532432
L27126,0.014273595,0.102764882,0.057133667,0.03261859,0.053676102,0.069079898,0.033465021,0.130308826,0.039774617,0.187794661,0.004169228,0.132927936,0,0.138220428,0.039312945,0.029682203,0.029339354
L27129,0.001822191,0.00575516,0,0.004805358,0.00667539,0.004389542,0.002491291,0,0,0,0.000396083,0.046594509,0,0.009643537,0.001177834,0,0.002392722
